бұл әмбебап дағдыларды дамытудың қажеттілігіне алып келеді .	this leads to the need to develop universal skills .	0.898485
ауылда шағын құрылыстар салуға рұқсат құжаттарын жеңілдету туралы депутаттық сауал	the issue of the further implementation of the project will be considered july 24 , 2019 , as part of the meeting of the state commission on the development of nur-sultan .	0,02
ауылда шағын құрылыстар салуға рұқсат құжаттарын жеңілдету туралы депутаттық сауал	in the logistics performance index , in 2018 kazakhstan took 71st place among 160 countries of the world , having risen by 6 positions compared to 2016 .	0,09
еңбекақыны уақытылы төлеу	timely payroll	0,09
пилоттық жобаны іске асырудың алғашқы нәтижелері	first results of pilot project	0,11
сонымен қатар , қолданыстағы шектеулерден басқа , психикалық және мінез-құлықтық ауытқуы бар , әрекетке жарамсыздығына байланысты дәрігердің бақылауында тұрған адамдардың педагогикалық қызметпен айналысуына тыйым салынбақ .	it is worth noting that raising the status of a teacher implies strengthening requirements for his activities .	0,13
жастарға тұрғын үй беру ережелері туралы сұхбат : қайда жүгіну керек және кімдерге артықшылықтар беріледі	we expect an increase in financing only through our line by 1.5 times .	0,13
энергетика министрі қ . бозымбаев авиациялық отын өндірісі және оның бағасы туралы баяндады .	so , this year , thanks to the completed modernization of kazakhstani oil refineries , the volume of aviation fuel production increased to 694 thousand tons , or 1.8 times compared with the production in 2018 .	0,15
табысты кәсіпкерлік	successful entrepreneurship	0,17
бұл шғын аудандарға инженерлік желілер тартылуда .	until 2023 , through all sources of financing , it is planned to build 319 multi-storey buildings ( 20,794 apartments or 2,109.3 thousand m ² ) .	0,17
ауылда шағын құрылыстар салуға рұқсат құжаттарын жеңілдету туралы депутаттық сауал	the finale of the expedition is scheduled for sep. 1 in almaty .	0,18
ауылда шағын құрылыстар салуға рұқсат құжаттарын жеңілдету туралы депутаттық сауал	together with the office of the prime minister , the bill will be prepared for submission to the majilis of the parliament .	0,18
ірі мұнай өндіру зауыттарында қазір мұнай өндірісі жоғары деңгейде - қр эм	it is enough that these deductions be made regularly .	0,18
тиімді қаржы жүйесі	effective financial system	0,18
мәмс жаппай енгізуге дайындық	readiness for full implementation of cshi	0,19
ауылда шағын құрылыстар салуға рұқсат құжаттарын жеңілдету туралы депутаттық сауал	in total , the exhibition features 144 items from the collections of the national museum of the republic of kazakhstan .	0,19
05 желтоқсан 2019 , 12 : 43	this is about 11 million citizens .	0,19
әлеуметтік маңызды азық-түлік тауарларының бағасын тұрақтандыру бойынша қабылданып жатқан шаралар туралы	measures taken to prevent growth of prices for socially significant food products	0,20
қауіпсіз еңбек жағдайларын қамтамасыз ету	ensuring safe working conditions	0,22
жұмысшы біліктіліктері бойынша оқитын студенттердің шәкіртақысын арттыру бойынша	on increasing scholarships for students of working qualifications	0,22
олар бірегей көрме жобасы арқылы қазақстанның тарихи-мәдени мұрасымен , ежелгі және ортағасырлық өнер туындыларымен танысуларына мүмкіндік алғандары үшін қазақстандықтарға алғыс білдірді .	the speakers noted the diversity and richness of the history of two peoples .	0,22
цифрландыру	digitalization	0,23
көрме " алтын адамның әлем музейлеріне шеруі " халықаралық көрме жобасы аясында ұйымдастырылып отыр , деп хабарлайды қр ұлттық музейінің баспасөз қызметі .	the exhibition will feature the symbol of kazakhstan - the golden warrior ( altyn adam ) .	0,23
салықтық әкімшілендіру	tax administration	0,23
тиімді мемлекеттік басқару	effective public administration	0,24
білім беру жүйесінде	education system	0,24
мобильді қосымшаны іске қосу туралы	launching mobile application	0,24
бағаның өсу себептерін анықтау үшін талдау нәтижелері	results of analysis on cause of price increases	0,25
қр премьер-министрі асқар мамин біліктілік жөніндегі ұлттық кеңес отырысын өткізді	the following support will be provided to enterprises through the portal :	0,25
мақсатты гранттар бөлу бойынша	on the allocation of targeted grants	0,26
әділет министрлігі заң жобалау қызметі мәселелері жөніндегі ведомствоаралық комиссия мүшелерімен бірлесіп үкіметтің заң жобалау жұмыстарының 2020 жылға арналған жоспар жобасын әзірледі .	the ministry of justice together with the office of the prime minister will submit the draft for approval by the head of state .	0,26
бүгінгі күні бағаны тұрақтандырудың негізгі тетігі тұрақтандыру қорының қызметі болып табылады	the main mechanism for stabilizing prices today is the activity of stabilization funds .	0,26
отырыс қорытындысы бойынша комитет төрағалары хаттамаға қол қойды .	following the results of the ix meeting of the committee on cooperation kazakhstan-china , the protocol was signed by the co-chairs of the committee .	0,27
пилоттық жоба мақсаттары	objectives of pilot project	0,27
ауылда шағын құрылыстар салуға рұқсат құжаттарын жеңілдету туралы депутаттық сауал	saka ( translated from persian , means " powerful men " ) - the distant ancestors of the kazakhs .	0,28
жалпыға бірдей заманауи білім беру стандарттары	educated nation : modern education standards for all	0,28
ұжымдық еңбек дауларының алдын алу	collective labor dispute prevention	0,28
аж интеграциялау нәтижесінде кедендік декларациялау уақыты қысқарды ( ә . смайылов )	they may apply for support measures .	0,28
қазақстанда туризм саласын дамыту туралы сұхбат : шетелдіктерді не қызықтырады және қай өңір экотуризм бойынша көш басында	it is worth noting that the implementation of the insurance does not cancel the guaranteed volume of free medical care .	0,28
денсаулық сақтауда	healthcare system	0,28
ауылда шағын құрылыстар салуға рұқсат құжаттарын жеңілдету туралы депутаттық сауал	at the initiative of kazakhstan , the un general assembly announced in 2013-2022 .	0,28
шетелдік жұмыс күшін тартатын кәсіпорындардағы жағдай	the situation in enterprises attracting foreign labor	0,29
ауылда шағын құрылыстар салуға рұқсат құжаттарын жеңілдету туралы депутаттық сауал	there are five departments in the country , 31 associated schools and 50 unesco clubs .	0,30
олжас смағұлов қр премьер-министрінің кеңсесі басшысының орынбасары болып тағайындалды	the increase in housing construction in comparison with last year continues in 15 regions .	0,30
үкімет әзірленіп жатқан заң жобаларын жетілдіру бойынша жұмыстарды тұрақты жүргізеді - сарапшы	" the main goal of introducing the insurance is to increase the availability of medical services .	0,30
түркістан обласы	turkistan region	0,30
қазақстан республикасының премьер-министрі	" our system is called social health insurance .	0,30
ауылда шағын құрылыстар салуға рұқсат құжаттарын жеңілдету туралы депутаттық сауал	regulatory measures to prevent further growth of the debt burden have been envisaged .	0,30
кедендік әкімшілендіру	customs administration	0,30
үкімет әзірленіп жатқан заң жобаларын жетілдіру бойынша жұмыстарды тұрақты жүргізеді - сарапшы	the head of government was presented with a draft of a new terminal in shymkent airport with a capacity of 400 passengers per hour , which is planned to be built by october 2020 .	0,31
қр премьер-министрі а . маминнің маңғыстау облысына жұмыс сапары	it is important to be insured .	0,32
сонымен қатар мектептерді салу кезінде мемлекеттік жекешелік әріптестік тетігі қолданылатын болады .	also , the construction of schools will use the ppp mechanism .	0,32
сапардың нәтижесі бойынша еліміздің табиғи нысандары бойынша жаңа туристік бағыттар , сапалы фото-және видеобанктер құрылады .	based on the results of the expedition , it is planned to identify the most optimal and interesting places and routes for the development of tours , which will be supported by accurate coordinates , high-quality photographs and video materials , as well as a detailed description .	0,32
